IDENTIFIER,GSM14498,GSM14499,GSM14500,GSM14501,GSM14513,GSM14514,GSM14515,GSM14516,GSM14506,GSM14507,GSM14508,GSM14502,GSM14503,GSM14504,GSM14505,GSM14509,GSM14510,GSM14511,GSM14512
HNRNPU,3832.4,5043.8,4944,4810.4,4433.2,4385.6,4472.2,4540.8,4503.5,4829.1,4888.8,4473.5,5216.5,5094.1,5449.9,4229.3,4217.2,4445,4710.3
EIF3A,3232.6,1972,1979.9,1675.8,2367.8,3218.3,2920.2,2493.3,1971.9,2734.6,2274.1,3417.1,2761.5,2903.7,2550.5,2800.4,2291.6,2003.6,2042.6
EIF3A,1251.2,955.2,811.3,1122,1005,1204.9,1476.8,1302.7,988.9,876.1,963.7,840.8,735.6,949.2,846.1,1272.3,981.5,651.9,838.7
EIF3A,267.9,367,348.3,355.9,432.3,391.4,377.3,389,328.7,387,216.4,324.5,346.2,382.4,341,224.9,378.1,239.9,297.4
HSP90B1,5032.2,3927.3,3429,3862.4,5442.5,1782.4,1714.8,2317.7,2442.4,3151.8,3213.4,5016.7,3589.4,3692.8,4117.7,5366,2588.5,2449.8,2761.2
HSP90B1,8459.1,7026.5,6817.7,6972.9,7007.3,8915.4,10139.1,10178.2,5823.6,7791,7231.5,8952.8,7273.2,8549,7405.2,8400.2,7301.1,7193.1,6578.8
MSN,770.9,445.5,400.6,456.8,804,511.9,554.2,447.6,420.6,479.1,468.1,892.9,486.6,514.8,468.7,1099.1,617.7,609.9,528
ACTN4,6188.2,3323.7,3984.5,2899.7,8154.5,8267.3,6264.8,6123.6,4261.6,4797.2,3341.4,5723.5,4850.3,4048.3,3546.4,6396.5,6662.6,6846.8,6017.7
APP,1750.8,1719.9,2145.5,1167.5,1520,2233.9,1624.2,2155.9,1520.1,1878.5,1706.3,2451.2,1633,1726,1739.6,1618.2,1209.4,1323.3,1147.9
PRKAR1A,5753.9,4855.1,4992.4,3780.3,4800.5,6302.4,4885.5,4512.2,4697,6021.7,4715.8,5329.8,5515.7,6904.7,4864.2,4858.4,4406.2,4400.1,4517.4
PRKAR1A,1029.7,615.7,811.9,667.2,1436.8,362.4,399.9,510.4,718.2,855.7,988.2,1537.1,1051,1111.5,1166.6,1143.8,886.3,822.1,981.7
PRKAR1A,5038.4,4673.1,4546.3,4408.6,5018.8,2362.7,2708.2,2344.4,4000.2,3808.7,4086,4804.5,3935.9,4031.3,4014.3,4322.1,3829.4,4456.6,4522.9
DSP,1788.8,1823.2,2081.2,2085.2,1810.9,1482.3,1518.2,1975,1683.5,1836.5,1631.8,1907.6,1645.2,1671.8,1530.7,1952.9,1747.7,1706.4,1677.9
RAD21,1203.6,1138.2,1215,1050.3,1426.4,552.4,521.3,579.7,1416.3,1241.7,1271.5,1142.2,1127.1,1197.4,1133.1,1831.2,937.5,883.5,914.3
RAD21,1660,1916.3,2229.9,1902.2,1884.3,2237.4,2262.5,2304.8,1751.4,2159.3,2325.8,1681.4,2414.5,2049.4,2481.5,1789.2,1716.8,1984.1,1994.9
WDR1,2222.8,2842.6,2642.1,3718.9,2063.1,2856.9,3610.9,2880.1,2845.6,2640.2,2680.2,2355.2,2755.5,2945.9,2634.1,2252,2535.9,2636.1,2945.2
NCL,5253.4,4785.1,5553.6,4659.9,5632.7,6041.9,5820,6880.2,4977.2,6253,5113.9,6431.8,6066.6,6477,6648.2,5819.1,5772.7,5410.5,5809.7
WDR1,2658.2,2400.9,2019.7,1766.8,2712.8,2629.7,2769.8,2945.7,2574.7,2770.4,2670.4,2435.4,2393.3,2045.2,2155.5,2840.3,2984.8,2813.9,3183.8
AP2B1,1411.1,1327.6,1405.7,1403.5,427.2,274.8,227.5,190.2,1584,1258.7,1469.8,782.6,1139,1192.6,1249.1,1700.2,504.6,531.9,381.6
AP2M1,4418.6,3503.1,3301.4,4934.3,3982.5,3603.8,4455.7,5061,3273.4,3619.4,4633.8,3808.6,3690.8,3552.2,3974.9,3538.2,3665,3835.2,3845.6
CLTC,5532.1,6397.7,6635.5,6985,5167.4,6191.8,6635.1,5685.4,6439.2,5825.9,5752.5,5618.8,6354.3,5881.1,6277.1,5086.4,5438.8,5054.9,5370.7
AP2B1,1252.4,862.8,859.9,857.1,868.6,753.4,753.8,740,995.3,965.4,959.8,779.6,1063.8,1257,1184.4,1133,1108.9,863.4,990.3
MLEC,1194.4,1917.2,2094.3,2136.3,556.6,607.5,791.2,760.5,919.6,1233.1,1430.6,737.3,793,1118.5,876.5,787.5,1067.6,1310.4,1159.6
